,trial,n,r,SNR,mode,alpha,slices,beta,delta,gamma,max_iter,total budget,revealed,time,rel_error_sand,rel_error_tc_final
77,7,200,15,inf,kron_alt,2,2,0.66,4.0,0.15,10,37231,0.004653875,928.3672992680222,0.0038949206140963,159.90034048063518
78,8,200,15,inf,kron_alt,2,2,0.66,4.0,0.15,10,37233,0.004654125,916.7171518746763,0.0028867865678299,1551.5308452464003
79,9,200,15,inf,kron_alt,2,2,0.66,4.0,0.15,10,37233,0.004654125,931.3848290424794,0.0077307705603653,37.24880175717735
80,0,200,5,inf,kron_alt,2,2,0.66,4.0,0.56,10,35426,0.00442825,522.8997828233987,5.050981956140628e-05,9.681323852959835e-07
81,1,200,5,inf,kron_alt,2,2,0.66,4.0,0.56,10,35422,0.00442775,519.7777173202485,7.241645934014156e-05,4.743462558740959e-07
82,2,200,5,inf,kron_alt,2,2,0.66,4.0,0.56,10,35423,0.004427875,523.3251952957362,3.289550529933711e-05,3.5307980845735414e-07
83,3,200,5,inf,kron_alt,2,2,0.66,4.0,0.56,10,35431,0.004428875,517.178463421762,7.079585031597337e-05,3.168885035083317e-07
84,4,200,5,inf,kron_alt,2,2,0.66,4.0,0.56,10,35423,0.004427875,515.8918286524713,0.0003254396651927,5.665215882194875e-07
85,5,200,5,inf,kron_alt,2,2,0.66,4.0,0.56,10,35423,0.004427875,522.2803625687957,8.452848693959624e-06,8.678189400172858e-07
86,6,200,5,inf,kron_alt,2,2,0.66,4.0,0.56,10,35412,0.0044265,513.071985848248,1.722852041774508e-05,4.523011996834854e-05
87,7,200,5,inf,kron_alt,2,2,0.66,4.0,0.56,10,35421,0.004427625,521.3388847000897,3.6493210325507686e-05,4.015642212572124e-07
88,8,200,5,inf,kron_alt,2,2,0.66,4.0,0.56,10,35421,0.004427625,518.0161459222436,4.92787926670896e-05,4.371733639920822e-07
89,9,200,5,inf,kron_alt,2,2,0.66,4.0,0.56,10,35422,0.00442775,521.4893152154982,0.0001493499210262,3.2674625214680457e-07
90,0,200,20,inf,kron_alt,2,2,0.66,4.0,0.245,10,70919,0.008864875,1845.8863383112475,0.0005830767266826,80.26105428897777
91,1,200,20,inf,kron_alt,2,2,0.66,4.0,0.245,10,70897,0.008862125,1826.255446347408,0.0001331550507448,71.95273580102332
92,2,200,20,inf,kron_alt,2,2,0.66,4.0,0.245,10,70922,0.00886525,1812.0578458504751,0.001175492961536,171.18614201267414
93,3,200,20,inf,kron_alt,2,2,0.66,4.0,0.245,10,70914,0.00886425,1814.009470832534,0.0002886214459543,56.7214585888954
94,4,200,20,inf,kron_alt,2,2,0.66,4.0,0.245,10,70918,0.00886475,1833.6787538547069,0.0007539304728646,292.52890930554435
95,5,200,20,inf,kron_alt,2,2,0.66,4.0,0.245,10,70916,0.0088645,1824.174030886963,0.0019688223816123,4254.227485133725
96,6,200,20,inf,kron_alt,2,2,0.66,4.0,0.245,10,70916,0.0088645,1819.5197816463187,0.0005398971408999,76.97790842610999
97,7,200,20,inf,kron_alt,2,2,0.66,4.0,0.245,10,70913,0.008864125,1839.314703739248,0.0012008031654298,774.6965369914836
98,8,200,20,inf,kron_alt,2,2,0.66,4.0,0.245,10,70905,0.008863125,1826.3276050304996,0.0025367550319079,27.67242787074403
99,9,200,20,inf,kron_alt,2,2,0.66,4.0,0.245,10,70897,0.008862125,1780.3710866840556,0.0012374207661895,112.87514059683171
100,0,200,15,inf,kron_alt,2,2,0.66,4.0,0.45,10,87682,0.01096025,899.7677314206958,0.000766872165195,5.4331355447962126e-05
101,1,200,15,inf,kron_alt,2,2,0.66,4.0,0.45,10,87676,0.0109595,898.2947967797518,0.0014807001495463,0.0001074581548887
102,2,200,15,inf,kron_alt,2,2,0.66,4.0,0.45,10,87678,0.01095975,886.2270818408579,3.0770442433919794e-05,7.2130111168497e-05
103,3,200,15,inf,kron_alt,2,2,0.66,4.0,0.45,10,87682,0.01096025,877.6166861373931,0.0004608876969264,0.0002502666431381
104,4,200,15,inf,kron_alt,2,2,0.66,4.0,0.45,10,87676,0.0109595,884.620909254998,0.0001761549564242,2.579359127510409e-05
105,5,200,15,inf,kron_alt,2,2,0.66,4.0,0.45,10,87675,0.010959375,896.4419185929,0.0003995890499043,1.849812178953402e-05
106,6,200,15,inf,kron_alt,2,2,0.66,4.0,0.45,10,87675,0.010959375,889.7293127235025,0.0001804645286802,6.241168666022451e-05
107,7,200,15,inf,kron_alt,2,2,0.66,4.0,0.45,10,87688,0.010961,891.7749355584383,0.001102986220847,1.915263747421493e-05
108,8,200,15,inf,kron_alt,2,2,0.66,4.0,0.45,10,87678,0.01095975,880.9470523390919,0.0001544510514204,6.295333158689258e-05
109,9,200,15,inf,kron_alt,2,2,0.66,4.0,0.45,10,87678,0.01095975,905.4761127401144,0.000203904640291,4.855838325456751e-05
110,0,200,15,inf,kron_alt,2,2,0.66,4.0,0.5,10,91880,0.011485,874.0483971331269,0.0001605076383514,2.2538666779793536e-05
111,1,200,15,inf,kron_alt,2,2,0.66,4.0,0.5,10,91880,0.011485,872.058801881969,0.0001568750675616,5.393618789454391e-05
112,2,200,15,inf,kron_alt,2,2,0.66,4.0,0.5,10,91880,0.011485,864.2227496672422,4.305886564790947e-05,4.445977674256638e-05
113,3,200,15,inf,kron_alt,2,2,0.66,4.0,0.5,10,91880,0.011485,872.3713278435171,0.0006065438835624,2.017764266566504e-05
114,4,200,15,inf,kron_alt,2,2,0.66,4.0,0.5,10,91880,0.011485,848.79107500799,3.155320247435034e-05,1.4088294511717654e-05
115,5,200,15,inf,kron_alt,2,2,0.66,4.0,0.5,10,91880,0.011485,883.8613293822855,0.0003426689425261,0.0001716806255721
