,trial,n,r,SNR,mode,alpha,slices,beta,delta,gamma,max_iter,total budget,revealed,time,rel_error_sand,rel_error_tc_final
385,5,200,5,inf,kron_alt,2,2,0.66,4.0,0.28,10,19713,0.002464125,530.7152182999998,0.0001371996449213,0.0185357945448023
386,6,200,5,inf,kron_alt,2,2,0.66,4.0,0.28,10,19706,0.00246325,532.5967342443764,0.0035188086917942,0.0002799513097363
387,7,200,5,inf,kron_alt,2,2,0.66,4.0,0.28,10,19713,0.002464125,533.4518447648734,8.697918930536021e-05,0.0217905113296091
388,8,200,5,inf,kron_alt,2,2,0.66,4.0,0.28,10,19712,0.002464,533.0747506078333,0.0013438772061398,0.0001881360366726
389,9,200,5,inf,kron_alt,2,2,0.66,4.0,0.28,10,19713,0.002464125,532.2289813198149,0.0006976622726314,0.0001948132576961
390,0,200,20,inf,kron_alt,2,2,0.66,4.0,0.175,10,55230,0.00690375,1615.3725176379085,0.001365846068418,2080.1512118605065
391,1,200,20,inf,kron_alt,2,2,0.66,4.0,0.175,10,55196,0.0068995,1600.4520266763866,0.0009508699705681,118.70777586287043
392,2,200,20,inf,kron_alt,2,2,0.66,4.0,0.175,10,55227,0.006903375,1674.320713672787,0.0014347471379094,678.1610582825149
393,3,200,20,inf,kron_alt,2,2,0.66,4.0,0.175,10,55235,0.006904375,1646.8284282200038,0.0020841335738418,757.0773571889141
394,4,200,20,inf,kron_alt,2,2,0.66,4.0,0.175,10,55233,0.006904125,1656.581196954474,0.0024542898109983,189.80441904583225
395,5,200,20,inf,kron_alt,2,2,0.66,4.0,0.175,10,55238,0.00690475,1616.8103509247303,0.0024056914267006,1843.0946399598608
396,6,200,20,inf,kron_alt,2,2,0.66,4.0,0.175,10,55222,0.00690275,1656.173030205071,0.0010428051177705,865.4852424514856
397,7,200,20,inf,kron_alt,2,2,0.66,4.0,0.175,10,55224,0.006903,1613.942459575832,0.0006275065026109,418.3391696164688
398,8,200,20,inf,kron_alt,2,2,0.66,4.0,0.175,10,55216,0.006902,1643.3607501797378,0.0054095310929906,138.64616743530152
399,9,200,20,inf,kron_alt,2,2,0.66,4.0,0.175,10,55224,0.006903,1643.596685776487,0.0022218441846279,252632.1878538728
400,0,200,10,inf,kron_alt,2,2,0.66,4.0,0.42,10,55113,0.006889125,651.459115833044,0.000599507651617,1.0695607615110224e-05
401,1,200,10,inf,kron_alt,2,2,0.66,4.0,0.42,10,55100,0.0068875,649.7024215757847,0.0016453642834277,8.831621202200745e-06
402,2,200,10,inf,kron_alt,2,2,0.66,4.0,0.42,10,55130,0.00689125,652.4266572911292,0.0002150200184733,1.219115748097604e-05
403,3,200,10,inf,kron_alt,2,2,0.66,4.0,0.42,10,55114,0.00688925,650.2463326025754,2.505544558124578e-05,7.846189023491194e-06
404,4,200,10,inf,kron_alt,2,2,0.66,4.0,0.42,10,55109,0.006888625,653.8829560242593,0.0001647249907024,5.860494168363536e-06
405,5,200,10,inf,kron_alt,2,2,0.66,4.0,0.42,10,55119,0.006889875,650.4822982084006,0.000238969589985,1.1725617871218918e-05
406,6,200,10,inf,kron_alt,2,2,0.66,4.0,0.42,10,55122,0.00689025,652.0750195533037,0.0001757315223105,6.7640223182956135e-06
407,7,200,10,inf,kron_alt,2,2,0.66,4.0,0.42,10,55118,0.00688975,653.3521952610463,0.0001471605707085,1.1072212814472782e-05
408,8,200,10,inf,kron_alt,2,2,0.66,4.0,0.42,10,55109,0.006888625,653.6421959195286,0.0002166670105789,7.280630551065375e-06
409,9,200,10,inf,kron_alt,2,2,0.66,4.0,0.42,10,55119,0.006889875,650.0775549132377,0.0002188664458972,1.8852961940548465e-05
