,trial,n,r,SNR,mode,slices,alpha,beta,delta,gamma,max_iter,time,rel_error_sandwich,matrix budget,total budget,revealed,rel_error_post_als,rel_error_just_als
147,7,200,15,30,sand_als,2,2,0.66,4.0,0.32,100,718.7728012446314,0.0011625394238168,26949,65809,0.008226125,0.0001698095334295,0.0617076391222367
148,8,200,15,30,sand_als,2,2,0.66,4.0,0.32,100,716.7406524047256,0.0029998254584905,26949,65810,0.00822625,0.0004677879546887,0.059947850581399
149,9,200,15,30,sand_als,2,2,0.66,4.0,0.32,100,702.7507904525846,0.0010266735737272,26949,65818,0.00822725,0.0001582804125822,0.0609956234923425
150,0,200,20,50,sand_als,2,2,0.66,4.0,0.32,100,619.7737605459988,0.0001215529362041,35932,87724,0.0109655,2.8587710057107047e-05,0.0521066781690827
151,1,200,20,50,sand_als,2,2,0.66,4.0,0.32,100,687.8005478978157,0.0016567936308855,35932,87730,0.01096625,0.0006981283330982,0.0522570124946017
152,2,200,20,50,sand_als,2,2,0.66,4.0,0.32,100,633.7415555398911,0.0001779929035076,35932,87731,0.010966375,3.352742987565106e-05,0.0581782879370291
153,3,200,20,50,sand_als,2,2,0.66,4.0,0.32,100,670.2405133396387,0.0002219818783252,35932,87705,0.010963125,5.127842873856397e-05,0.0563709289328735
154,4,200,20,50,sand_als,2,2,0.66,4.0,0.32,100,691.493119282648,0.0004407767291532,35932,87706,0.01096325,0.0001596040586011,0.0506642999682184
155,5,200,20,50,sand_als,2,2,0.66,4.0,0.32,100,684.2294221073389,0.0001827397816025,35932,87737,0.010967125,9.641943831025944e-05,0.0521687327733064
156,6,200,20,50,sand_als,2,2,0.66,4.0,0.32,100,641.5998438429087,8.418080555590956e-05,35932,87729,0.010966125,2.6412467506286475e-05,0.0480094124985376
157,7,200,20,50,sand_als,2,2,0.66,4.0,0.32,100,677.5652187541127,0.0004555306872463,35932,87729,0.010966125,8.26983306467214e-05,0.0543680020447118
158,8,200,20,50,sand_als,2,2,0.66,4.0,0.32,100,683.8943362273276,0.0022645135786471,35932,87719,0.010964875,0.0006979624263723,0.059229870208521
159,9,200,20,50,sand_als,2,2,0.66,4.0,0.32,100,633.8202487044036,7.628450269627533e-05,35932,87714,0.01096425,4.651753961603151e-05,0.056532283730766
160,0,200,20,10,sand_als,2,2,0.66,4.0,0.32,100,804.5635836160509,0.0995064047078878,35932,87717,0.010964625,0.0169312910485168,0.060684634575131
161,1,200,20,10,sand_als,2,2,0.66,4.0,0.32,100,797.951947172056,0.0995007273791613,35932,87706,0.01096325,0.0180890470414704,0.0639297974728372
162,2,200,20,10,sand_als,2,2,0.66,4.0,0.32,100,787.6614350260934,0.0995067178808065,35932,87729,0.010966125,0.0177403144154587,0.0638885118995099
163,3,200,20,10,sand_als,2,2,0.66,4.0,0.32,100,793.0578082449501,0.099503013932343,35932,87721,0.010965125,0.0178730456354219,0.0612725428730977
164,4,200,20,10,sand_als,2,2,0.66,4.0,0.32,100,797.5561517499154,0.0994974835799765,35932,87728,0.010966,0.0180747545989206,0.0637638656773346
165,5,200,20,10,sand_als,2,2,0.66,4.0,0.32,100,800.9415938460734,0.0994975247075898,35932,87714,0.01096425,0.0178279092735315,0.0642653077555311
166,6,200,20,10,sand_als,2,2,0.66,4.0,0.32,100,786.9173593699234,0.1000340857587445,35932,87732,0.0109665,0.0174038444927363,0.0628737739355543
167,7,200,20,10,sand_als,2,2,0.66,4.0,0.32,100,791.5880948340055,0.099503376607248,35932,87730,0.01096625,0.0169230472342451,0.0611011367746395
168,8,200,20,10,sand_als,2,2,0.66,4.0,0.32,100,789.7764662220143,0.0995107796716197,35932,87710,0.01096375,0.0173768760221574,0.0595263195578077
169,9,200,20,10,sand_als,2,2,0.66,4.0,0.32,100,781.7763942088932,0.0995082254030677,35932,87723,0.010965375,0.0182812065901196,0.0615618724038051
170,0,200,20,20,sand_als,2,2,0.66,4.0,0.32,100,701.2810372877866,0.0099997794557534,35932,87725,0.010965625,0.0019141750359206,0.0583309933250544
171,1,200,20,20,sand_als,2,2,0.66,4.0,0.32,100,702.514372523874,0.0100411258864587,35932,87726,0.01096575,0.0017382024160963,0.0483104724134396
172,2,200,20,20,sand_als,2,2,0.66,4.0,0.32,100,704.427461495623,0.0100001730218619,35932,87709,0.010963625,0.001748783373848,0.0535012845447859
173,3,200,20,20,sand_als,2,2,0.66,4.0,0.32,100,704.4188140295446,0.0100124895731788,35932,87737,0.010967125,0.0017678693576472,0.0562284150628426
174,4,200,20,20,sand_als,2,2,0.66,4.0,0.32,100,705.1917085424066,0.0100004550487017,35932,87715,0.010964375,0.0018424705426948,0.0544523698173347
175,5,200,20,20,sand_als,2,2,0.66,4.0,0.32,100,701.7702103015035,0.010016668216995,35932,87722,0.01096525,0.0019155676049037,0.0551004717151707
176,6,200,20,20,sand_als,2,2,0.66,4.0,0.32,100,701.7427605744451,0.0099997854163413,35932,87726,0.01096575,0.001785959894469,0.052045073016082
177,7,200,20,20,sand_als,2,2,0.66,4.0,0.32,100,700.474576972425,0.0100012501880831,35932,87732,0.0109665,0.001834311466633,0.0540041081687766
178,8,200,20,20,sand_als,2,2,0.66,4.0,0.32,100,700.9279557038099,0.010001296936709,35932,87730,0.01096625,0.0017730958989523,0.05397263689916
179,9,200,20,20,sand_als,2,2,0.66,4.0,0.32,100,703.5868968069553,0.0100041459404235,35932,87707,0.010963375,0.0019639620454121,0.0540031082857812
180,0,200,5,50,sand_als,2,2,0.66,4.0,0.32,100,568.2107969485223,0.0002353938940279,8983,21959,0.002744875,0.0001349784873671,0.0930193974358872
181,1,200,5,50,sand_als,2,2,0.66,4.0,0.32,100,567.9047401919961,0.000169401414472,8983,21960,0.002745,2.423762074984001e-05,0.0924855777279478
182,2,200,5,50,sand_als,2,2,0.66,4.0,0.32,100,565.1482025440782,6.238815013872854e-05,8983,21959,0.002744875,8.77658763684347e-06,0.0901555159650737
183,3,200,5,50,sand_als,2,2,0.66,4.0,0.32,100,568.5745708439499,0.0004048101521266,8983,21958,0.00274475,4.883867549609604e-05,0.0917909921158695
184,4,200,5,50,sand_als,2,2,0.66,4.0,0.32,100,565.03452507779,8.923543683714546e-05,8983,21959,0.002744875,2.567524498738883e-05,0.0834875448984933
185,5,200,5,50,sand_als,2,2,0.66,4.0,0.32,100,575.3513902593404,0.0001084936167117,8983,21957,0.002744625,6.160474126368942e-05,0.0896405273862
186,6,200,5,50,sand_als,2,2,0.66,4.0,0.32,100,616.8437870647758,0.0003256966222665,8983,21956,0.0027445,0.0002010522997279,0.0888384726118882
187,7,200,5,50,sand_als,2,2,0.66,4.0,0.32,100,564.7290014158934,0.0002309122376288,8983,21957,0.002744625,1.331616366182989e-05,0.0896337121192654
188,8,200,5,50,sand_als,2,2,0.66,4.0,0.32,100,617.8511475268751,0.0005995177132203,8983,21957,0.002744625,0.000405081038528,0.0945213128475021
189,9,200,5,50,sand_als,2,2,0.66,4.0,0.32,100,561.5539629328996,6.495267283179062e-05,8983,21952,0.002744,1.4128068278545248e-05,0.0887336796781131
190,0,200,15,50,sand_als,2,2,0.66,4.0,0.32,100,764.6256124274805,0.0023693745579251,26949,65817,0.008227125,0.0013598811189394,0.0619953092176016
191,1,200,15,50,sand_als,2,2,0.66,4.0,0.32,100,765.3240918992087,0.0020553996323252,26949,65811,0.008226375,0.0004489061184341,0.0587532252595821
192,2,200,15,50,sand_als,2,2,0.66,4.0,0.32,100,756.5529808271676,0.0002545969559195,26949,65819,0.008227375,7.013247206079022e-05,0.0623309156759772
193,3,200,15,50,sand_als,2,2,0.66,4.0,0.32,100,715.3943589860573,8.051437146588631e-05,26949,65819,0.008227375,3.040779672446444e-05,0.0624118319671829
194,4,200,15,50,sand_als,2,2,0.66,4.0,0.32,100,769.2637721626088,0.0001390093009304,26949,65812,0.0082265,7.616176297908775e-05,0.0676896194085732
195,5,200,15,50,sand_als,2,2,0.66,4.0,0.32,100,770.7349985586479,0.0078942165529211,26949,65815,0.008226875,0.0010886262328532,0.0615069209033353
196,6,200,15,50,sand_als,2,2,0.66,4.0,0.32,100,747.3232242260128,0.0002049852899202,26949,65806,0.00822575,5.2978545888911046e-05,0.0616562862090038
197,7,200,15,50,sand_als,2,2,0.66,4.0,0.32,100,734.2244346542284,0.0002852927106874,26949,65824,0.008228,7.220565988843042e-05,0.061502507236602
198,8,200,15,50,sand_als,2,2,0.66,4.0,0.32,100,786.6617314824834,0.0007949939212851,26949,65813,0.008226625,0.000371809361618,0.0652979391018739
199,9,200,15,50,sand_als,2,2,0.66,4.0,0.32,100,778.9085907666013,0.0005517990209851,26949,65810,0.00822625,8.598780696647936e-05,0.0616753740108889
200,0,200,15,20,sand_als,2,2,0.66,4.0,0.32,100,703.2012048698962,0.0100000806514774,26949,65833,0.008229125,0.0014267977985336,0.059851805882043
201,1,200,15,20,sand_als,2,2,0.66,4.0,0.32,100,705.592335710302,0.0100020202725583,26949,65828,0.0082285,0.0014437884432881,0.0646011926996189
202,2,200,15,20,sand_als,2,2,0.66,4.0,0.32,100,705.8448688630015,0.0100113390435499,26949,65831,0.008228875,0.0014746080582021,0.06336559105138
203,3,200,15,20,sand_als,2,2,0.66,4.0,0.32,100,701.0901878885925,0.0100008962768192,26949,65822,0.00822775,0.0013516898030397,0.0639668781778524
204,4,200,15,20,sand_als,2,2,0.66,4.0,0.32,100,704.9430760685354,0.0100052157793069,26949,65817,0.008227125,0.0013914846131713,0.0639207050091955
205,5,200,15,20,sand_als,2,2,0.66,4.0,0.32,100,705.3102629240602,0.0100133855549807,26949,65812,0.0082265,0.0014219541363115,0.0617471740845306
206,6,200,15,20,sand_als,2,2,0.66,4.0,0.32,100,698.3853050563484,0.0100003355233163,26949,65825,0.008228125,0.0015127331195554,0.0625927789046963
207,7,200,15,20,sand_als,2,2,0.66,4.0,0.32,100,702.9429695308208,0.0109733803224973,26949,65834,0.00822925,0.0018200502647466,0.0669515672798534
208,8,200,15,20,sand_als,2,2,0.66,4.0,0.32,100,699.3886837344617,0.0100081758480896,26949,65827,0.008228375,0.0014956338441437,0.063981734320297
209,9,200,15,20,sand_als,2,2,0.66,4.0,0.32,100,700.9792183768004,0.0100034305053891,26949,65802,0.00822525,0.0014634120096707,0.0664482304851534
210,0,200,5,30,sand_als,2,2,0.66,4.0,0.32,100,651.5490509408992,0.0010189819796648,8983,21956,0.0027445,6.268599655415436e-05,0.0863148937343417
211,1,200,5,30,sand_als,2,2,0.66,4.0,0.32,100,655.927235905081,0.0010175136693785,8983,21956,0.0027445,4.0564970616870257e-05,0.093432676896523
212,2,200,5,30,sand_als,2,2,0.66,4.0,0.32,100,658.6457883620169,0.0015981078427002,8983,21961,0.002745125,0.0002132845696339,0.0932254109103006
213,3,200,5,30,sand_als,2,2,0.66,4.0,0.32,100,637.8760004899232,0.0010017097174278,8983,21959,0.002744875,2.2352982810045277e-05,0.0888048939446557
214,4,200,5,30,sand_als,2,2,0.66,4.0,0.32,100,637.0138997429749,0.001013235002948,8983,21959,0.002744875,3.620762887980672e-05,0.0912600746392292
215,5,200,5,30,sand_als,2,2,0.66,4.0,0.32,100,651.6058651320636,0.00100547360709,8983,21957,0.002744625,6.176542008866138e-05,0.0941093634601585
